Date,Time,Object,Confidence,X1,Y1,X2,Y2
2026-07-07,06:17:02,person,0.75,388,70,639,470
2026-07-07,06:17:02,person,0.92,362,60,639,470
2026-07-07,06:17:03,person,0.92,368,55,639,471
2026-07-07,06:17:03,person,0.92,373,50,639,471
2026-07-07,06:17:03,person,0.92,384,48,639,470
2026-07-07,06:17:03,person,0.85,386,49,639,469
2026-07-07,06:17:05,person,0.84,385,45,639,468
2026-07-07,06:17:05,person,0.87,385,46,639,469
2026-07-07,06:17:05,person,0.9,385,45,639,470
2026-07-07,06:17:05,person,0.81,384,44,639,469
2026-07-07,06:17:05,person,0.91,384,46,639,469
2026-07-07,06:17:06,person,0.91,385,45,639,469
2026-07-07,06:17:06,person,0.9,384,46,639,470
2026-07-07,06:17:06,person,0.9,385,46,639,469
2026-07-07,06:17:07,person,0.92,383,46,639,470
2026-07-07,06:17:07,person,0.9,384,47,639,470
2026-07-07,06:17:07,person,0.91,384,48,639,470
2026-07-07,06:17:07,person,0.91,385,48,639,469
2026-07-07,06:17:08,person,0.92,386,46,639,469
2026-07-07,06:17:08,person,0.91,385,46,639,470
2026-07-07,06:17:08,person,0.91,385,45,639,470
2026-07-07,06:17:08,person,0.92,384,44,639,470
2026-07-07,06:17:09,person,0.92,384,44,639,470
2026-07-07,06:17:09,person,0.91,385,45,639,470
2026-07-07,06:17:09,person,0.91,384,45,639,472
2026-07-07,06:17:09,person,0.92,385,46,639,471
2026-07-07,06:17:10,person,0.92,385,46,639,471
2026-07-07,06:17:10,person,0.91,385,45,639,470
2026-07-07,06:17:10,person,0.92,386,46,639,469
2026-07-07,06:17:10,person,0.92,387,46,639,470
2026-07-07,06:17:10,person,0.91,387,43,639,470
2026-07-07,06:17:11,person,0.91,387,42,639,470
2026-07-07,06:17:11,person,0.91,386,42,639,470
2026-07-07,06:17:11,person,0.92,387,42,639,470
2026-07-07,06:17:12,person,0.91,388,44,639,470
2026-07-07,06:17:12,person,0.92,388,44,639,470
2026-07-07,06:17:12,person,0.92,388,44,639,470
2026-07-07,06:17:12,person,0.91,388,44,639,470
2026-07-07,06:17:13,person,0.91,388,42,639,470
2026-07-07,06:17:13,person,0.91,388,42,639,470
2026-07-07,06:17:13,person,0.92,388,43,639,469
2026-07-07,06:17:13,person,0.92,389,45,639,470
2026-07-07,06:17:14,person,0.92,389,43,639,470
2026-07-07,06:17:14,person,0.91,390,45,639,469
2026-07-07,06:17:14,person,0.91,389,42,639,470
2026-07-07,06:17:14,person,0.9,390,44,639,470
2026-07-07,06:17:14,person,0.91,389,43,639,469
2026-07-07,06:17:15,person,0.91,388,44,639,469
2026-07-07,06:17:15,person,0.9,390,43,639,470
2026-07-07,06:17:15,person,0.91,389,42,639,470
2026-07-07,06:17:15,person,0.92,389,43,639,470
2026-07-07,06:17:16,person,0.91,389,42,639,470
2026-07-07,06:17:16,person,0.91,389,43,639,470
2026-07-07,06:17:16,person,0.9,389,41,639,471
2026-07-07,06:17:16,person,0.92,387,41,639,470
2026-07-07,06:17:17,person,0.91,386,40,639,471
2026-07-07,06:17:17,person,0.91,386,37,639,470
2026-07-07,06:17:17,person,0.91,384,36,639,470
2026-07-07,06:17:17,person,0.92,385,35,639,470
2026-07-07,06:17:18,person,0.92,386,36,639,469
2026-07-07,06:17:18,person,0.88,388,36,639,470
2026-07-07,06:17:18,person,0.92,385,32,639,469
2026-07-07,06:17:18,person,0.92,386,34,639,469
2026-07-07,06:17:18,person,0.92,385,40,639,470
2026-07-07,06:17:19,person,0.92,385,37,639,470
2026-07-07,06:17:19,person,0.92,383,35,639,470
2026-07-07,06:17:19,person,0.91,386,34,639,472
2026-07-07,06:17:19,person,0.92,385,38,639,470
2026-07-07,06:17:19,person,0.92,387,38,639,470
2026-07-07,06:17:20,person,0.92,385,36,639,470
2026-07-07,06:17:20,person,0.92,385,37,639,470
2026-07-07,06:17:20,person,0.92,386,37,639,469
